ensembl_gene_id,symbol,logFC,t,P.Value
ENSG00000007392,LUC7L,0.253307554,1.513689981,0.139041554
ENSG00000007402,CACNA2D2,0.899125053,1.410752111,0.167103539
ENSG00000007516,BAIAP3,-0.411019279,-0.635617979,0.529140547
ENSG00000007520,TSR3,-0.106720038,-0.598335938,0.553450508
ENSG00000007541,PIGQ,0.086681633,0.342797766,0.733791397
ENSG00000007545,CRAMP1L,1.033435604,3.067103008,0.004141349
ENSG00000007866,TEAD3,-0.303660459,-0.25339036,0.80144219
ENSG00000007923,DNAJC11,0.720868448,0.834831705,0.409448546
ENSG00000007944,MYLIP,-0.036373076,-0.159079875,0.874516106
ENSG00000007968,E2F2,-1.414215669,-1.816598644,0.077810709
ENSG00000008018,PSMB1,-0.059256425,-0.483041949,0.632059867
ENSG00000008056,SYN1,-1.013157678,-0.758051494,0.453470783
ENSG00000008083,JARID2,1.173464516,4.678297684,4.18E-05
ENSG00000008086,CDKL5,-0.084629749,-0.147179645,0.883830848
ENSG00000008128,CDK11A,0.009969453,0.026625097,0.978909283
ENSG00000008130,NADK,0.733448076,3.542276472,0.001141401
ENSG00000008197,TFAP2D,-1.561369252,-1.715530625,0.095048152
ENSG00000008226,DLEC1,-0.982065943,-1.14585283,0.259594256
ENSG00000008256,CYTH3,1.741697465,3.318243876,0.00211504
ENSG00000008277,ADAM22,-0.302378848,-0.528883219,0.600209209
ENSG00000008282,SYPL1,-0.837406517,-2.238922664,0.031587086
ENSG00000008283,CYB561,-1.179020807,-3.031573553,0.004546017
ENSG00000008294,SPAG9,0.147546823,0.782822211,0.438971866
ENSG00000008300,CELSR3,-0.65693691,-0.790298686,0.434650846
ENSG00000008311,AASS,1.57946917,1.052354021,0.299815148
ENSG00000008323,PLEKHG6,-0.201032891,-0.200003742,0.842629819
ENSG00000008324,SS18L2,-0.59424438,-3.953495865,0.000355067
ENSG00000008382,MPND,0.525296344,2.028325793,0.050154326
ENSG00000008394,MGST1,0.821913761,0.567287659,0.574122739
ENSG00000008405,CRY1,0.523208261,1.86135868,0.071069683
ENSG00000008438,PGLYRP1,0.553496616,0.725480522,0.472958066
ENSG00000008441,NFIX,1.04905579,0.971878886,0.337748903
ENSG00000008513,ST3GAL1,-0.608309426,-3.078096012,0.004023209
ENSG00000008516,MMP25,1.417634331,2.490593801,0.017622647
ENSG00000008517,IL32,-2.800599271,-6.737892019,8.16E-08
ENSG00000008710,PKD1,-0.407071614,-1.624465047,0.113207818
ENSG00000008838,MED24,0.300051525,1.523481447,0.136581856
ENSG00000008853,RHOBTB2,2.51725429,5.156231945,9.88E-06
ENSG00000008869,HEATR5B,-0.252062964,-0.847701786,0.402337213
ENSG00000008952,SEC62,-0.622804922,-4.590693018,5.44E-05
ENSG00000008988,RPS20,-1.58483638,-6.935636418,4.51E-08
ENSG00000009307,CSDE1,-0.394521831,-2.297075336,0.027682871
ENSG00000009335,UBE3C,-0.485676701,-2.374830704,0.023141708
ENSG00000009413,REV3L,0.157383283,0.52825302,0.600641907
ENSG00000009694,TENM1,-0.445553848,-0.566120111,0.574907491
ENSG00000009724,MASP2,2.450359595,2.325726402,0.025923656
ENSG00000009780,FAM76A,-0.2514302,-0.651388147,0.519030575
ENSG00000009790,TRAF3IP3,-0.364016697,-2.05894888,0.046965634
ENSG00000009830,POMT2,0.738916447,0.798343182,0.430030268
ENSG00000009844,VTA1,0.635704819,2.357038652,0.02411687
ENSG00000009950,MLXIPL,0.801967726,1.116724944,0.271684471
ENSG00000009954,BAZ1B,0.07516791,0.356230786,0.723796235
ENSG00000010017,RANBP9,-1.020652127,-3.676298392,0.000783751
ENSG00000010030,ETV7,-0.559239472,-0.368799205,0.714488643
ENSG00000010072,SPRTN,1.122337351,1.312356997,0.197901654
ENSG00000010165,METTL13,0.321393147,0.912615905,0.367659276
ENSG00000010219,DYRK4,-0.230244978,-0.7488641,0.458919288
ENSG00000010244,ZNF207,0.692815765,2.822234991,0.00779516
ENSG00000010256,UQCRC1,0.045710577,0.244306524,0.808413326
ENSG00000010270,STARD3NL,1.492653345,6.548970142,1.44E-07
ENSG00000010278,CD9,1.715027125,1.375051452,0.177813742
ENSG00000010292,NCAPD2,0.579500822,2.263719109,0.029865703
ENSG00000010295,IFFO1,0.52547776,2.331188798,0.025599927
ENSG00000010310,GIPR,1.120219738,1.639047668,0.110121031
ENSG00000010318,PHF7,-0.388530466,-1.482232981,0.147185238
ENSG00000010319,SEMA3G,-3.471266015,-2.577331043,0.014306926
ENSG00000010322,NISCH,0.254467867,1.695334161,0.098850705
ENSG00000010327,STAB1,2.808727504,2.06953472,0.045905478
ENSG00000010361,FUZ,-0.077409156,-0.201369584,0.841569921
ENSG00000010379,SLC6A13,1.028559634,0.977218999,0.335136035
ENSG00000010404,IDS,0.431164081,1.782233038,0.083348098
ENSG00000010438,PRSS3,2.030217641,1.874249151,0.069223422
ENSG00000010539,ZNF200,0.136717938,0.214285207,0.831562424
ENSG00000010610,CD4,-8.818547336,-8.156598664,1.27E-09
ENSG00000010626,LRRC23,-0.194428166,-0.646184277,0.522355145
ENSG00000010671,BTK,2.411072345,1.765585292,0.086148126
ENSG00000010704,HFE,-3.964808199,-3.049498338,0.004337404
ENSG00000010803,SCMH1,-0.670494598,-1.809784226,0.078883208
ENSG00000010810,FYN,0.427696123,1.63869809,0.110194208
ENSG00000010818,HIVEP2,-2.254517315,-6.3858896,2.35E-07
ENSG00000011007,TCEB3,0.620599484,1.837886694,0.074539713
ENSG00000011009,LYPLA2,-0.322312293,-2.069892902,0.045869977
ENSG00000011021,CLCN6,0.979455612,2.826025453,0.007720645
