V1,V2
GO:0002250,MCOLN1
GO:0002250,MCOLN2
GO:0002250,MEF2C
GO:0002250,MICA
GO:0002250,MICB
GO:0002250,MIR21
GO:0002250,MLH1
GO:0002250,MSH2
GO:0002250,MSH6
GO:0002250,MTOR
GO:0002250,MYO1G
GO:0002250,NBN
GO:0002250,NDFIP1
GO:0002250,NECTIN2
GO:0002250,NEDD4
GO:0002250,NFKB2
GO:0002250,NFKBID
GO:0002250,NFKBIZ
GO:0002250,NLRP10
GO:0002250,NLRP3
GO:0002250,NSD2
GO:0002250,ORAI1
GO:0002250,OTUB1
GO:0002250,OTUD7B
GO:0002250,P2RX7
GO:0002250,PAG1
GO:0002250,PARP3
GO:0002250,PAXIP1
GO:0002250,PDCD1
GO:0002250,PDCD1LG2
GO:0002250,PIK3CD
GO:0002250,PIK3CG
GO:0002250,PKN1
GO:0002250,POU2F2
GO:0002250,PPP3CB
GO:0002250,PRDM1
GO:0002250,PRF1
GO:0002250,PRKCB
GO:0002250,PRKCD
GO:0002250,PRKCQ
GO:0002250,PRKCZ
GO:0002250,PRKD2
GO:0002250,PRR7
GO:0002250,PTK2B
GO:0002250,PTPN6
GO:0002250,PTPRC
GO:0002250,PVR
GO:0002250,PYCARD
GO:0002250,RAB27A
GO:0002250,RAG1
GO:0002250,RC3H1
GO:0002250,RC3H2
GO:0002250,RELB
GO:0002250,RFTN1
GO:0002250,RIF1
GO:0002250,RIPK2
GO:0002250,RIPK3
GO:0002250,RNF125
GO:0002250,RNF168
GO:0002250,RNF19B
GO:0002250,RNF8
GO:0002250,RORA
GO:0002250,RORC
GO:0002250,RSAD2
GO:0002250,SAMSN1
GO:0002250,SASH3
GO:0002250,SCART1
GO:0002250,SEMA4A
GO:0002250,SERPING1
GO:0002250,SH2D1A
GO:0002250,SH2D1B
GO:0002250,SHLD1
GO:0002250,SHLD2
GO:0002250,SHLD3
GO:0002250,SIGLEC10
GO:0002250,SIRT1
GO:0002250,SIT1
GO:0002250,SKAP1
GO:0002250,SLA2
GO:0002250,SLAMF1
GO:0002250,SLAMF6
GO:0002250,SLAMF7
GO:0002250,SLC11A1
GO:0002250,SMAD7
GO:0002250,SOCS5
GO:0002250,SPN
GO:0002250,STAT3
GO:0002250,STAT6
GO:0002250,STX7
GO:0002250,SUPT6H
GO:0002250,SUSD4
GO:0002250,SWAP70
GO:0002250,SYK
GO:0002250,TAP1
GO:0002250,TAP2
GO:0002250,TARM1
GO:0002250,TBX21
GO:0002250,TCIRG1
GO:0002250,TEC
GO:0002250,TFE3
GO:0002250,TFEB
GO:0002250,TFRC
GO:0002250,TGFB1
GO:0002250,THEMIS
GO:0002250,THOC1
GO:0002250,TLR4
GO:0002250,TLR8
GO:0002250,TMEM98
GO:0002250,TNF
GO:0002250,TNFAIP3
GO:0002250,TNFRSF11A
GO:0002250,TNFRSF13B
GO:0002250,TNFRSF13C
GO:0002250,TNFRSF14
GO:0002250,TNFRSF17
GO:0002250,TNFRSF1B
GO:0002250,TNFRSF21
GO:0002250,TNFSF13
GO:0002250,TNFSF13B
GO:0002250,TNFSF18
GO:0002250,TNFSF4
GO:0002250,TP53BP1
GO:0002250,TRAC
GO:0002250,TRAF2
GO:0002250,TRAF6
GO:0002250,TRAJ3
GO:0002250,TRAJ42
GO:0002250,TRAT1
GO:0002250,TRAV1-1
GO:0002250,TRAV1-2
GO:0002250,TRAV10
GO:0002250,TRAV12-1
GO:0002250,TRAV12-2
GO:0002250,TRAV12-3
GO:0002250,TRAV13-1
GO:0002250,TRAV13-2
GO:0002250,TRAV14DV4
GO:0002250,TRAV16
GO:0002250,TRAV17
GO:0002250,TRAV18
GO:0002250,TRAV19
GO:0002250,TRAV2
GO:0002250,TRAV20
GO:0002250,TRAV21
GO:0002250,TRAV22
GO:0002250,TRAV23DV6
GO:0002250,TRAV24
GO:0002250,TRAV25
GO:0002250,TRAV26-1
GO:0002250,TRAV26-2
GO:0002250,TRAV27
GO:0002250,TRAV29DV5
GO:0002250,TRAV3
GO:0002250,TRAV30
GO:0002250,TRAV34
GO:0002250,TRAV35
GO:0002250,TRAV36DV7
GO:0002250,TRAV38-1
GO:0002250,TRAV38-2DV8
GO:0002250,TRAV39
GO:0002250,TRAV4
GO:0002250,TRAV40
GO:0002250,TRAV41
GO:0002250,TRAV5
GO:0002250,TRAV6
GO:0002250,TRAV7
GO:0002250,TRAV8-1
GO:0002250,TRAV8-2
GO:0002250,TRAV8-3
GO:0002250,TRAV8-4
GO:0002250,TRAV8-6
GO:0002250,TRAV9-1
GO:0002250,TRAV9-2
GO:0002250,TRBC1
GO:0002250,TRBC2
GO:0002250,TRBD1
GO:0002250,TRBJ1-1
GO:0002250,TRBJ1-2
GO:0002250,TRBJ1-3
GO:0002250,TRBJ1-4
GO:0002250,TRBJ1-5
GO:0002250,TRBJ1-6
GO:0002250,TRBJ2-1
GO:0002250,TRBJ2-2
GO:0002250,TRBJ2-3
GO:0002250,TRBJ2-4
GO:0002250,TRBJ2-5
GO:0002250,TRBJ2-6
GO:0002250,TRBJ2-7
GO:0002250,TRBV10-1
GO:0002250,TRBV10-2
GO:0002250,TRBV10-3
GO:0002250,TRBV11-1
GO:0002250,TRBV11-2
GO:0002250,TRBV11-3
GO:0002250,TRBV12-3
GO:0002250,TRBV12-4
GO:0002250,TRBV12-5
GO:0002250,TRBV13
GO:0002250,TRBV14
GO:0002250,TRBV16
GO:0002250,TRBV18
GO:0002250,TRBV19
GO:0002250,TRBV2
GO:0002250,TRBV20-1
GO:0002250,TRBV24-1
GO:0002250,TRBV25-1
GO:0002250,TRBV27
GO:0002250,TRBV28
GO:0002250,TRBV29-1
GO:0002250,TRBV3-1
GO:0002250,TRBV30
GO:0002250,TRBV4-1
GO:0002250,TRBV4-2
GO:0002250,TRBV5-1
GO:0002250,TRBV5-4
GO:0002250,TRBV5-5
GO:0002250,TRBV5-6
GO:0002250,TRBV6-1
GO:0002250,TRBV6-4
GO:0002250,TRBV6-5
GO:0002250,TRBV6-6
GO:0002250,TRBV6-8
GO:0002250,TRBV7-2
GO:0002250,TRBV7-4
GO:0002250,TRBV7-6
GO:0002250,TRBV7-7
GO:0002250,TRBV7-9
GO:0002250,TRBV9
GO:0002250,TRDC
GO:0002250,TRDD1
GO:0002250,TRDJ1
GO:0002250,TRDV1
GO:0002250,TRDV2
GO:0002250,TRDV3
GO:0002250,TREX1
GO:0002250,TRGC2
GO:0002250,TRGJ2
GO:0002250,TRGV2
GO:0002250,TRGV3
GO:0002250,TRGV4
GO:0002250,TRGV5
GO:0002250,TRGV8
GO:0002250,TRGV9
GO:0002250,TRIM27
GO:0002250,TRPM4
GO:0002250,TSC1
GO:0002250,TSTA3
GO:0002250,TXK
GO:0002250,UNC13D
GO:0002250,UNC93B1
GO:0002250,UNG
GO:0002250,VTCN1
GO:0002250,WAS
GO:0002250,XCL1
GO:0002250,ZAP70
GO:0002250,ZBTB1
GO:0002250,ZBTB7B
GO:0002250,ZC3H12A
GO:0002250,ZNF683
GO:0002250,ZP3
